area,family,TaxonName,iNatTaxon,HJ_comment,FPNW_note,First_record_year,First_record_observer,First_Record_Institution_ID,First_Record_Collection_No,First_Record_Location,critical_comments,reviewed,review_status,annotation_status
saanich,Alismataceae,Alisma triviale,Alisma triviale,"Marshy areas, often submersed; occasional; Bowker Creek, Swan and Blenkinsop Lakes, and the Sidney area; flowers. AC Spencer Pond, Langford 1987. TCB Glen Lake 1989. TCB Bowker Creek 1999. = A. plantago-aquatica. Recheck vouchers.",,2006-07-26,J. Fenneman,"Photo ID 7,364",,Victoria,"Some specimens may refer to A. plantago-aquatica. Historically, the name A. plantago-aquatica (exotic) has been misapplied to the native A. triviale; review vouchers.","TL, FL, DG, PD, AS",complete,remaining
saanich,Alismataceae,Sagittaria latifolia,Sagittaria latifolia,T.C. Brayshaw reports introduced and increasing population at Thetis Lake. PDW Little Thetis lake 1982. Also: Patrick Warrington; S. Bridger (RBCM V170944),,1982-09-16,P.D. Warrington,RBCM,V170944,Little Thetis Lake,PDW = P.D. Warrington,"AS, TL, AW",complete,remaining
saanich,Amaranthaceae,Amaranthus albus,Amaranthus albus,Goddard Sidney 1934. MCM Oak Bay 1957-1958. G. Allen Cadboro Bay 2016. Hardy Blenkinsop Lake 1942. MCM Cedar Hill X Road 1963. Records at V and CPNWH appear as both albus and blitoides. (?),,1916-01-01,G. Allen,RBCM,V090155,Victoria; Oak Bay,"I have recorded several collections by a Geraldine Allen in the early decades of the 1900s. TL Change Hardy to G.A. Hardy. MCM = M.C. Melburn (TL); material positively determined as A. albus by Mihai Costea, who has published extensively on Amaranthus (AS); the genus level taxonomy that Mihai provided you is current, and most of the taxa on the list do occur in the area of interest. (DG)","AS, TL",complete,remaining
saanich,Amaranthaceae,Amaranthus blitoides,Amaranthus blitoides,"Common weed of cultivated lands; introduced from tropical America and well established in Victoria, Saanich, Prospect Lake, and the Sidney area.",,1941-08-01,C. McTavish,RBCM,V013865,Sidney,"Prostrate in habit. Also see occurrence on p. 51 of FSP and Harvey's Revised Flora. (TL); Specimens positively determined as A. blitoides by Mihai Costea, who has published extensively on Amaranthus (AS); the genus level taxonomy that Mihai has provided is current, and most of the taxa on the list do occur in the area of interest. (DG)","AS, TL",complete,remaining
saanich,Amaranthaceae,Amaranthus powellii,Amaranthus powellii,Macoun Sidney 1913. Corner of Wilkinson and W Saanich Roads Marr 2007. Goddard Royal Oak 1934.,,1913-09-04,J.M. Macoun,RBCM,V001599,Sidney: vicinity of,"HJ material from Saanich Peninsula positively determined by Mihai Costea, who has published extensively on Amaranthus (AS)","AS, TL",complete,remaining
saanich,Amaranthaceae,Amaranthus retroflexus,Amaranthus retroflexus,Common weed of cultivated fields; introduced from tropical America and well established throughout. Molyneux Saanichton Experimental Farm 1955.,,1955-08-24,W. Molyneux,RBCM,V027730C,"North Saanich: S3 E half of 2E and W half of 3E, Saanichton Experimental Station ",UBC voucher same date and location,"AS, TL",complete,remaining
saanich,Amaranthaceae,Atriplex dioica,Atriplex dioica,"AC Island View Beach 1984, early 20th century collections Eastham, W.B. Anderson, W. Taylor.",,1894-08-20,J.R. Anderson,UBC,V008337,Victoria,"Review records and assess presence of A. patula, etc. (TL); Harvey doesn't recognize Atriplex patula in OGI, Saanich or SSI; synonymizes A. prostrata with A. patula var. hastata (which he only recognizes in SJIs); that Harvey recognized Atriplex dioica but not A. patula in his revised flora suggests to me that he had come to recognize A. dioica as a common species to which the name Atriplex patula may have historically been misapplied? (AS); A. patula is a Eurasian weed and probably based on old taxonomy.  I would not trust it without a verifying specimen; Atriplex dioica is in for sure.  It is the common native on sea beaches in the whole range. (FL)","AS, TL, FL",complete,remaining
saanich,Amaranthaceae,Atriplex gmelinii,Atriplex gmelinii,"Along the coast, mostly on saline soil; common throughout gmelinii = patula var. obtusa or zosterifolia, prostrata = patula var. hastata also in area patula var littoralis = A. littoralis",,1914-07,Case,UBC,V043678,Victoria,"Harvey synonymizes A. gmelinii with A. patula var. obtusa or zosterifolia; the only records from south coast of BC have dated annotations (AS); Atriplex gmelinii is perhaps doubtful, it is not often found here, but certainly possible; A. prostrata is a beach plant with triangular leaves and rather frequent so should be there. (FL)","TL, FL",complete,remaining
saanich,Amaranthaceae,Atriplex prostrata,Atriplex prostrata,NA,,1910-08-06,J.R. Anderson,WTU,32216,Victoria,A. prostrata is a beach plant with triangular leaves and rather frequent so should be there. (FL),"AS, FL",complete,remaining
saanich,Amaranthaceae,Chenopodium album,Chenopodium album,Native of Eurasia; garden and waste places; naturalized and a very common weed throughout.,,1894-07-17,J.R. Anderson,RBCM,V001587,Victoria,"Newton Sydney Spit 1939. Molyneux Saanichton experimental station 1955. (TL);  species you show are correct and present in the area (DG); on list of non-established plants in BC, however Harvey seems to recognize it as naturalized (AS); revisit","TL, AS, DG",in progress,remaining
saanich,Amaranthaceae,Oxybasis rubra var. humilis,Oxybasis rubra humilis,Saline soil along the coast; sporadic.,,1908-07-28,J.M. Macoun,F,V0311170F,Sidney,"Species you show are correct and present in the area (DG) Note: F = Field Museum of Natural History, Chicago and Chenopodium rubrum L. var. humile (Hook.) S. Watson = Oxybasis rubra (L.) S. Fuentes, Uotila & Borsch var. humilis (Hook.) Mosyakin (Synonym) TL","TL, DG, PD, TL",complete,remaining
